;Country;Year;Life Ladder;LogGDP;SocialSupport;LifeExpectancy;Freedom;Generosity;Corruption;PosAffect;NegAffect;Region;Regime;AreaInK2;Population;PopAnnualGrowthRate;PopDensity;InfantMortalityRate;Christianisme;Islam;Sans-religion;Hindouisme;Bouddhisme;Religions traditionnelles;Autres;Judaisme;GiniCoeff21;Corrup
0;Afghanistan;2008;3.724;7.37;0.451;50.8;0.718;0.168;0.882;0.518;0.258;South Asia;Authoritarian;652230;27703539;3.268;42.5;131.62;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0;29.4;18
1;Afghanistan;2009;4.402;7.54;0.552;51.2;0.679;0.19;0.85;0.584;0.237;South Asia;Authoritarian;652230;28480801;2.279;43.7;129.69;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0;29.4;15
2;Afghanistan;2010;4.758;7.647;0.539;51.6;0.6;0.121;0.707;0.618;0.275;South Asia;Authoritarian;652230;29116851;2.139;44.6;127.79;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0;29.4;14
3;Afghanistan;2011;3.832;7.62;0.521;51.92;0.496;0.162;0.731;0.611;0.267;South Asia;Authoritarian;652230;29752169;2.177;45.6;125.79;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0;29.4;15
4;Afghanistan;2012;3.783;7.705;0.521;52.24;0.531;0.236;0.776;0.71;0.268;South Asia;Authoritarian;652230;30412510;2.213;46.6;123.82;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0;29.4;8
5;Afghanistan;2013;3.572;7.725;0.484;52.56;0.578;0.061;0.823;0.621;0.273;South Asia;Authoritarian;652230;31098161;2.246;47.7;121.88;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0;29.4;8
6;Afghanistan;2014;3.131;7.718;0.526;52.88;0.509;0.104;0.871;0.532;0.375;South Asia;Authoritarian;652230;31809829;2.279;48.8;119.96;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0;29.4;12
7;Afghanistan;2015;3.983;7.702;0.529;53.2;0.389;0.08;0.881;0.554;0.339;South Asia;Authoritarian;652230;32547550;2.306;49.9;118.07;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0;29.4;11
8;Afghanistan;2016;4.22;7.697;0.559;53.0;0.523;0.042;0.793;0.565;0.348;South Asia;Authoritarian;652230;33310667;2.329;51.1;116.13;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0;29.4;15
9;Afghanistan;2017;2.662;7.697;0.491;52.8;0.427;-0.121;0.954;0.496;0.371;South Asia;Authoritarian;652230;34097944;2.343;52.3;114.21;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0;29.4;15
10;Afghanistan;2018;2.694;7.692;0.508;52.6;0.374;-0.094;0.928;0.424;0.405;South Asia;Authoritarian;652230;34907481;2.35;53.5;112.32;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0;29.4;15
11;Afghanistan;2019;2.375;7.697;0.42;52.4;0.394;-0.108;0.924;0.351;0.502;South Asia;Authoritarian;652230;35739709;2.362;54.8;110.47;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0;29.4;16
12;Albania;2007;4.634;9.142;0.821;65.8;0.529;-0.009;0.875;0.553;0.246;Central and Eastern Europe;Flawed democracy;27398;2991573;-0.347;109.2;12.23;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0;33.2;29
13;Albania;2009;5.485;9.262;0.833;66.2;0.525;-0.158;0.864;0.64;0.279;Central and Eastern Europe;Flawed democracy;27398;2983560;0.081;108.9;12.09;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0;33.2;32
14;Albania;2010;5.269;9.303;0.733;66.4;0.569;-0.172;0.726;0.648;0.3;Central and Eastern Europe;Flawed democracy;27398;2989272;0.302;109.1;12.03;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0;33.2;33
15;Albania;2011;5.867;9.331;0.759;66.68;0.487;-0.205;0.877;0.628;0.257;Central and Eastern Europe;Flawed democracy;27398;2998428;0.31;109.4;11.96;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0;33.2;31
16;Albania;2012;5.51;9.347;0.785;66.96;0.602;-0.169;0.848;0.607;0.271;Central and Eastern Europe;Flawed democracy;27398;3007803;0.314;109.8;11.9;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0;33.2;33
17;Albania;2013;4.551;9.359;0.759;67.24;0.632;-0.127;0.863;0.634;0.338;Central and Eastern Europe;Flawed democracy;27398;3017282;0.315;110.1;11.83;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0;33.2;31
18;Albania;2014;4.814;9.378;0.626;67.52;0.735;-0.025;0.883;0.685;0.335;Central and Eastern Europe;Flawed democracy;27398;3026779;0.314;110.5;11.77;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0;33.2;33
19;Albania;2015;4.607;9.403;0.639;67.8;0.704;-0.081;0.885;0.688;0.35;Central and Eastern Europe;Flawed democracy;27398;3036304;0.315;110.8;11.7;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0;33.2;36
20;Albania;2016;4.511;9.437;0.638;68.1;0.73;-0.017;0.901;0.675;0.322;Central and Eastern Europe;Flawed democracy;27398;3045854;0.313;111.2;11.64;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0;33.2;39
21;Albania;2017;4.64;9.476;0.638;68.4;0.75;-0.029;0.876;0.669;0.334;Central and Eastern Europe;Flawed democracy;27398;3055278;0.305;111.5;11.57;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0;33.2;38
22;Albania;2018;5.004;9.518;0.684;68.7;0.824;0.009;0.899;0.713;0.319;Central and Eastern Europe;Flawed democracy;27398;3064357;0.289;111.8;11.51;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0;33.2;36
23;Albania;2019;4.995;9.544;0.686;69.0;0.777;-0.099;0.914;0.681;0.274;Central and Eastern Europe;Flawed democracy;27398;3072944;0.271;112.2;11.45;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0;33.2;35
24;Albania;2020;5.365;9.497;0.71;69.3;0.754;0.007;0.891;0.679;0.265;Central and Eastern Europe;Flawed democracy;27398;3080930;0.248;112.5;11.39;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0;33.2;36
25;Algeria;2011;5.317;9.297;0.81;64.66;0.53;-0.181;0.638;0.55;0.255;Middle East and North Africa;Authoritarian;2381740;36653828;1.931;15.4;24.69;0.002;0.9790000000000001;0.018000000000000002;0.0;0.0;0.0;0.0;0.0;27.4;29
26;Algeria;2012;5.605;9.311;0.839;64.82;0.587;-0.172;0.69;0.604;0.23;Middle East and North Africa;Authoritarian;2381740;37365369;1.915;15.7;24.22;0.002;0.9790000000000001;0.018000000000000002;0.0;0.0;0.0;0.0;0.0;27.4;34
27;Algeria;2017;5.249;9.354;0.807;65.7;0.437;-0.167;0.7;0.642;0.289;Middle East and North Africa;Authoritarian;2381740;40952312;1.697;17.2;21.99;0.002;0.9790000000000001;0.018000000000000002;0.0;0.0;0.0;0.0;0.0;27.4;33
28;Algeria;2018;5.043;9.348;0.799;65.9;0.583;-0.146;0.759;0.591;0.293;Middle East and North Africa;Authoritarian;2381740;41638373;1.626;17.5;21.57;0.002;0.9790000000000001;0.018000000000000002;0.0;0.0;0.0;0.0;0.0;27.4;34
29;Algeria;2019;4.745;9.337;0.803;66.1;0.385;0.005;0.741;0.585;0.215;Middle East and North Africa;Authoritarian;2381740;42305560;1.554;17.8;21.16;0.002;0.9790000000000001;0.018000000000000002;0.0;0.0;0.0;0.0;0.0;27.4;35
30;Angola;2011;5.589;8.946;0.723;52.5;0.584;0.055;0.911;0.659;0.361;Sub-Saharan Africa;Authoritarian;1246700;23499214;3.724;18.8;79.01;0.905;0.002;0.051;0.0;0.0;0.042;0.0;0.0;51.3;20
31;Angola;2012;4.36;8.992;0.753;53.2;0.456;-0.136;0.906;0.558;0.305;Sub-Saharan Africa;Authoritarian;1246700;24407498;3.858;19.6;77.03;0.905;0.002;0.051;0.0;0.0;0.042;0.0;0.0;51.3;22
32;Angola;2013;3.937;9.005;0.722;53.9;0.41;-0.104;0.816;0.658;0.371;Sub-Saharan Africa;Authoritarian;1246700;25353587;3.75;20.3;75.09;0.905;0.002;0.051;0.0;0.0;0.042;0.0;0.0;51.3;23
33;Angola;2014;3.795;9.017;0.755;54.6;0.375;-0.168;0.834;0.579;0.368;Sub-Saharan Africa;Authoritarian;1246700;26314148;3.688;21.1;73.2;0.905;0.002;0.051;0.0;0.0;0.042;0.0;0.0;51.3;19
34;Argentina;2006;6.313;9.942;0.938;66.82;0.733;-0.157;0.852;0.825;0.328;Latin America and Caribbean;Flawed democracy;2736690;39761782;0.954;14.5;12.63;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005;41.4;29
35;Argentina;2007;6.073;10.018;0.862;66.94;0.653;-0.141;0.881;0.828;0.279;Latin America and Caribbean;Flawed democracy;2736690;40134011;0.91;14.7;13.32;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005;41.4;29
36;Argentina;2008;5.961;10.048;0.892;67.06;0.678;-0.132;0.865;0.823;0.318;Latin America and Caribbean;Flawed democracy;2736690;40531409;1.06;14.8;12.91;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005;41.4;29
37;Argentina;2009;6.424;9.977;0.919;67.18;0.637;-0.13;0.885;0.864;0.237;Latin America and Caribbean;Flawed democracy;2736690;40943942;0.966;15.0;12.21;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005;41.4;29
38;Argentina;2010;6.441;10.066;0.927;67.3;0.73;-0.126;0.855;0.846;0.211;Latin America and Caribbean;Flawed democracy;2736690;41358093;1.047;15.1;11.92;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005;41.4;29
39;Argentina;2011;6.776;10.112;0.889;67.48;0.816;-0.174;0.755;0.84;0.232;Latin America and Caribbean;Flawed democracy;2736690;41791721;1.039;15.3;11.71;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005;41.4;30
40;Argentina;2012;6.468;10.091;0.902;67.66;0.747;-0.148;0.817;0.857;0.272;Latin America and Caribbean;Flawed democracy;2736690;42216144;0.982;15.4;10.89;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005;41.4;35
41;Argentina;2013;6.582;10.103;0.91;67.84;0.737;-0.13;0.823;0.842;0.254;Latin America and Caribbean;Flawed democracy;2736690;42635451;0.995;15.6;10.93;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005;41.4;34
42;Argentina;2014;6.671;10.067;0.918;68.02;0.745;-0.164;0.854;0.857;0.238;Latin America and Caribbean;Flawed democracy;2736690;43057355;0.975;15.7;10.76;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005;41.4;34
